"gene","combinedPval","adjustedPval","pred"
"NRGN",0,0,1
"PPP1R1B",0,0,1
"MEIS2",5.24761461515554e-308,1.33461866313611e-304,1
"SPARC",2.12169534924293e-224,4.0470591186479e-221,1
"HPCAL4",1.59696172858224e-211,2.43691858139638e-208,1
"VAMP1",1.09195066215883e-195,1.38857160807131e-192,1
"MBP",2.24417603710746e-190,2.44610669429793e-187,1
"ITIH3",1.60943221846983e-181,1.53496762339801e-178,1
"PTK2B",3.15072909936977e-177,2.67106877244153e-174,1
"DLK1",6.25528437282976e-154,4.77269381201776e-151,1
"PENK",7.32354497821152e-145,5.07978327039697e-142,1
"PEG10",1.01380209697562e-130,6.44597259220649e-128,1
"SLC6A11",5.07246868618165e-129,2.97709393398249e-126,1
"GNG8",1.17939127824222e-126,6.42756373208423e-124,1
"NEFM",6.2300285264468e-119,3.16894930479563e-116,1
"DBPHT2",2.06938906741002e-117,9.86821682278798e-115,1
"HAP1",4.08957386966382e-111,1.83546307204842e-108,1
"TMSB4X",1.18640806685358e-94,5.02895907391595e-92,1
"GABBR1",1.0181897438167e-93,4.08876012506996e-91,1
"SATB2",3.04144143982831e-93,1.16028847565536e-90,1
"PTGDS",1.10025812511267e-91,3.99753067613286e-89,1
"CHRM1",1.91796993685715e-91,6.65174558725151e-89,1
"CRYM",1.29680610097072e-90,4.30193381453348e-88,1
"CARTPT",1.27087700645942e-86,4.00141106087259e-84,1
"LYPD1",1.31110254838255e-86,4.00141106087259e-84,1
"TRF",4.17960074606588e-82,1.22652940780873e-79,1
"APOD",1.61668285809531e-80,4.56854160947877e-78,1
"RPS24",3.02793233121474e-79,8.25096318514749e-77,1
"SLC32A1",3.94553199807696e-75,1.03806389815332e-72,1
"CAR2",3.75937731901513e-72,9.56117302752704e-70,1
"GFAP",3.24293292445268e-71,7.98165198122087e-69,1
"GPRASP2",2.40387197096227e-70,5.73162635225668e-68,1
"CST3",7.82682952801907e-70,1.80962442892375e-67,1
"GABBR2",1.25306056601679e-68,2.8119633845286e-66,1
"EBF3",1.76625340642638e-63,3.85036129951265e-61,1
"NWD2",8.26633106098707e-62,1.75197058072071e-59,1
"COL6A1",2.19305062893092e-60,4.52234248689614e-58,1
"LMO3",4.57982983610675e-60,9.19564635530745e-58,1
"GAD2",1.78134938082386e-59,3.48498582186171e-57,1
"CLU",4.58997374699001e-59,8.75521319012116e-57,1
"PCP4",9.41709693454901e-57,1.75246639823734e-54,1
"CALCR",8.8367641172807e-56,1.60531582681847e-53,1
"RAB3B",2.5451627037289e-55,4.51610062887354e-53,1
"STMN2",4.79807029199181e-55,8.32013637929513e-53,1
"LSAMP",1.01833378242977e-54,1.72660960709984e-52,1
"GPSM1",6.28787003620669e-54,1.04294700302155e-51,1
"CPNE6",8.24651371750915e-54,1.33871781634774e-51,1
"CCK",3.21791678789187e-51,5.11505240535395e-49,1
"CBLN1",9.27201782297987e-51,1.44375896233637e-48,1
"SAPCD2",1.17697896870939e-50,1.79603672863658e-48,1
"SIX3",5.56691440559729e-49,8.32838672387821e-47,1
"CBLN2",6.83252540140006e-49,1.00252318864492e-46,1
"SYT2",1.18363637585057e-47,1.7039582493111e-45,1
"GRM7",8.15703542969178e-47,1.15253760451335e-44,1
"GRM5",1.62400292456866e-46,2.25289334928458e-44,1
"ZFHX4",1.08914392211172e-45,1.48393118168954e-43,1
"KCNG1",2.72514931307203e-45,3.64780792375788e-43,1
"TIAM1",3.06143100024668e-45,4.0272908692572e-43,1
"MOG",3.46007220115592e-45,4.4745530878919e-43,1
"CACNA2D1",8.9639860623254e-45,1.13989917059838e-42,1
"TMEM255A",1.33903140049482e-43,1.67485587826151e-41,1
"NEFH",1.43555136087883e-43,1.76662170180974e-41,1
"MATN2",2.01906022788201e-43,2.44526110546154e-41,1
"IGSF8",5.99176104168903e-43,7.14317066337408e-41,1
"ASS1",1.03741183478496e-41,1.21773939730511e-39,1
"CYP26B1",2.16676806364768e-41,2.50486892920807e-39,1
"NRIP3",2.24931554309161e-41,2.56148665169587e-39,1
"SNCG",6.69286521031276e-41,7.50964974055873e-39,1
"RGS8",1.69920083974715e-40,1.87893665437473e-38,1
"ARHGAP6",1.83849016178157e-40,2.0039172586172e-38,1
"TAC1",2.54188795432554e-40,2.73158406024855e-38,1
"LPL",8.4482599937585e-40,8.95264347516787e-38,1
"PRKCD",1.74507717582914e-39,1.82393053335602e-37,1
"CALB2",2.19343046994683e-39,2.26156288309876e-37,1
"HPCAL1",7.72817634226583e-39,7.86198616690088e-37,1
"CADM1",1.566212229013e-38,1.57236559989798e-36,1
"ATP2B4",1.35946257008001e-36,1.34707893528317e-34,1
"TMEM215",1.98746957999964e-35,1.94411702225333e-33,1
"DGKK",2.03233476366877e-35,1.96283896221456e-33,1
"NPAS1",3.98476845613208e-35,3.80040271140817e-33,1
"OLFM2",7.5085810326308e-35,7.07276728270032e-33,1
"SEZ6",1.74002797398069e-34,1.61904490183533e-32,1
"DCLK3",2.68382765407162e-34,2.4671357507572e-32,1
"SLC17A7",2.75898369967903e-34,2.50603056743798e-32,1
"PPP1R14A",4.76278205908789e-34,4.27521833241231e-32,1
"TTR",5.90855476800983e-34,5.24202791916779e-32,1
"CLDN11",1.07773015485809e-33,9.45164273795147e-32,1
"SMIM17",1.15978156746998e-33,1.00556476086318e-31,1
"PMCH",1.44182077400182e-33,1.23605497637224e-31,1
"TCF7L2",3.81033648887475e-33,3.23025892958035e-31,1
"FEZF2",6.16365297125423e-33,5.16789048802729e-31,1
"KLHL1",2.79029477512774e-32,2.31408215859195e-30,1
"CCSAP",3.86917493628209e-32,3.17432897064707e-30,1
"BAIAP3",1.13120710409475e-31,9.181862518554e-30,1
"PDCD4",2.26863619187786e-31,1.82203940983924e-29,1
"TMEM163",2.58522918267437e-31,2.05468065535231e-29,1
"SULF1",5.0020497197309e-31,3.93452931472997e-29,1
"PCDH11X",6.33941273308904e-31,4.93559445424206e-29,1
"CHRM4",6.46295419174488e-31,4.98095248168631e-29,1
"LEF1",7.88762288483952e-31,6.01814508985678e-29,1
"SUMO2",9.01751377071698e-31,6.81211476302214e-29,1
"ADCYAP1R1",1.15325032238011e-30,8.62660530990174e-29,1
"PPP2R2B",4.38096206609023e-30,3.24525466933516e-28,1
"NEUROD6",2.2008986425243e-29,1.61466792683684e-27,1
"TRAF3IP3",2.63800698164127e-29,1.91691632940837e-27,1
"IGFBP4",4.07671489589034e-29,2.93441132710624e-27,1
"CACNA2D2",6.6368081315243e-29,4.73251501173362e-27,1
"NPTX1",9.91159684343649e-29,7.00223027183054e-27,1
"RESP18",1.28217725704216e-28,8.97507500559563e-27,1
"PRDM12",2.57872778291928e-28,1.78866632068944e-26,1
"TEKT5",3.08807566957547e-28,2.12266505524914e-26,1
"BCL11B",5.61173687505234e-28,3.82292512645221e-26,1
"OPALIN",6.48157563221223e-28,4.37641668450274e-26,1
"NTNG1",1.37604204367003e-27,9.20965513017168e-26,1
"MDGA1",2.38223770742896e-27,1.58053373440704e-25,1
"CAMK2D",4.42306390453298e-27,2.90925467133368e-25,1
"LGI2",7.78304674161442e-27,5.07551706539619e-25,1
"GAD1",1.38770510190883e-26,8.97287655840695e-25,1
"CALB1",1.68175437728927e-26,1.07828141727776e-24,1
"CPLX3",2.9075402903281e-26,1.84867688458152e-24,1
"CALCRL",3.31360728756939e-26,2.08945095630091e-24,1
"PITX2",5.81517164429629e-26,3.63679836333569e-24,1
"LAMP5",9.34404119471906e-26,5.79623718126774e-24,1
"CABP7",1.07849821531894e-25,6.63612046377463e-24,1
"NDRG2",1.68092151276148e-25,1.02601553813165e-23,1
"ALCAM",3.29177306581221e-25,1.9933146457647e-23,1
"SPON1",4.49136183838247e-25,2.69830376350878e-23,1
"GLRA1",2.61282451447625e-24,1.54538626229731e-22,1
"SCN5A",2.60569289285045e-24,1.54538626229731e-22,1
"NTSR2",3.79248027999869e-24,2.22585307763258e-22,1
"NYAP2",2.29005020281344e-23,1.33379849455999e-21,1
"PDYN",3.23884319745557e-23,1.87211493191053e-21,1
"RPRM",5.19154228206742e-23,2.97825081922386e-21,1
"SLC17A6",8.82997727614703e-23,5.02772254366343e-21,1
"OPRL1",9.66769171491802e-23,5.46393519867609e-21,1
"SLC30A3",3.90882621890729e-22,2.19292596506172e-20,1
"PLCXD2",7.04689346616408e-22,3.92458422845275e-20,1
"SLC24A2",1.99985304294551e-21,1.10569542394774e-19,1
"OTOF",2.20234605025429e-21,1.20889136374674e-19,1
"SEMA5A",5.49125347558935e-20,2.99267786141207e-18,1
"UGT8A",7.25695154623652e-20,3.92691613293184e-18,1
