"gene","combinedPval","adjustedPval","pred","truth"
"gene2",0,0,1,1
"gene3",0,0,1,1
"gene4",0,0,1,1
"gene5",0,0,1,1
"gene6",0,0,1,1
"gene7",0,0,1,1
"gene8",0,0,1,1
"gene9",0,0,1,1
"gene10",0,0,1,1
"gene11",0,0,1,1
"gene12",0,0,1,1
"gene13",0,0,1,1
"gene14",0,0,1,1
"gene15",0,0,1,1
"gene16",0,0,1,1
"gene18",0,0,1,1
"gene19",0,0,1,1
"gene20",0,0,1,1
"gene21",0,0,1,1
"gene22",0,0,1,1
"gene23",0,0,1,1
"gene24",0,0,1,1
"gene25",0,0,1,1
"gene26",0,0,1,1
"gene27",0,0,1,1
"gene28",0,0,1,1
"gene29",0,0,1,1
"gene30",0,0,1,1
"gene34",0,0,1,1
"gene35",0,0,1,1
"gene37",0,0,1,1
"gene40",0,0,1,1
"gene46",0,0,1,1
"gene47",0,0,1,1
"gene52",0,0,1,1
"gene55",0,0,1,1
"gene58",0,0,1,1
"gene68",0,0,1,1
"gene74",0,0,1,1
"gene75",0,0,1,1
"gene78",0,0,1,1
"gene80",0,0,1,1
"gene88",0,0,1,1
"gene90",0,0,1,1
"gene91",0,0,1,1
"gene95",0,0,1,1
"gene99",0,0,1,1
"gene105",0,0,1,1
"gene110",0,0,1,1
"gene114",0,0,1,1
"gene115",0,0,1,1
"gene73",6.88809023276492e-302,9.91549975426985e-300,1,1
"gene97",3.54952362638801e-297,5.01318031587971e-295,1,1
"gene82",2.7268844060969e-294,3.78000254850509e-292,1,1
"gene65",4.30129035150221e-293,5.85403337980657e-291,1,1
"gene93",5.94577433277517e-286,7.94766437703513e-284,1,1
"gene1",6.83352586373506e-285,8.9740629347028e-283,1,1
"gene64",4.50838766136943e-283,5.81851801159407e-281,1,1
"gene43",8.19122837818272e-281,1.03924070062711e-278,1,1
"gene63",7.22137672809134e-275,9.00923417853069e-273,1,1
"gene62",2.48438743213697e-271,3.04865733271783e-269,1,1
"gene49",4.64958059057398e-265,5.61359677814871e-263,1,1
"gene84",1.28768185090843e-253,1.52998491629121e-251,1,1
"gene70",7.88465328961273e-244,9.22192850702164e-242,1,1
"gene53",1.63507499144717e-243,1.8829701851219e-241,1,1
"gene17",3.88900986261999e-242,4.410768182278e-240,1,1
"gene83",3.43418252173748e-237,3.83678704422048e-235,1,1
"gene113",1.53401586468425e-231,1.68865162569351e-229,1,1
"gene85",6.24860924100965e-230,6.77880904239759e-228,1,1
"gene104",4.46056068621855e-219,4.76991386262934e-217,1,1
"gene72",1.94254882077941e-217,2.04801304128742e-215,1,1
"gene92",2.21475368141305e-217,2.30256585354361e-215,1,1
"gene66",7.45377856364579e-211,7.64315647111855e-209,1,1
"gene89",1.24781212853647e-185,1.26222450372988e-183,1,1
"gene117",6.35569045338689e-183,6.34337809166741e-181,1,1
"gene87",1.88218267940447e-166,1.8538188948572e-164,1,1
"gene31",1.74149204621449e-161,1.69297246309335e-159,1,1
"gene67",6.23277029098275e-158,5.98143851200709e-156,1,1
"gene86",1.20150451938972e-154,1.13845912262168e-152,1,1
"gene69",1.08752663407279e-142,1.01758111617803e-140,1,1
"gene118",2.17130411651281e-134,2.00657206093205e-132,1,1
"gene100",3.7317405943967e-124,3.4065653022548e-122,1,1
"gene119",2.15802113829786e-119,1.94624148761209e-117,1,1
"gene61",1.04951475756665e-118,9.35251444700321e-117,1,1
"gene116",1.54498705019185e-117,1.36058300519279e-115,1,1
"gene79",8.59627531431213e-108,7.48222888076183e-106,1,1
"gene59",1.37861756372657e-94,1.1861611035768e-92,1,1
"gene81",7.66257238433868e-92,6.51795026134374e-90,1,1
"gene38",1.51776864610545e-87,1.276540783537e-85,1,1
"gene109",2.6258556963295e-85,2.1839740332094e-83,1,1
"gene77",1.26047749212162e-81,1.0368425865556e-79,1,1
"gene76",1.95374744858184e-80,1.58964343426456e-78,1,1
"gene41",9.12055057562424e-78,7.34103393182913e-76,1,1
"gene36",9.58489891788734e-70,7.63271080331556e-68,1,1
"gene103",7.19231258584121e-69,5.66714171381935e-67,1,1
"gene98",3.30185572621589e-67,2.57457758586774e-65,1,1
"gene56",1.69024671382407e-58,1.30436005396609e-56,1,1
"gene101",1.17157875465424e-54,8.94879451918796e-53,1,1
"gene71",9.10890630960168e-48,6.88731845979864e-46,1,1
"gene96",1.71144798820181e-44,1.28109940450321e-42,1,1
"gene50",7.2505207859155e-44,5.37362000661238e-42,1,1
"gene39",2.34957336416141e-34,1.72428068158387e-32,1,1
"gene112",1.64800213067396e-32,1.19767688614416e-30,1,1
"gene44",6.75515372075987e-32,4.86206791685444e-30,1,1
"gene42",3.39430784771462e-29,2.41980880817192e-27,1,1
"gene108",7.93685554912118e-28,5.60482084314565e-26,1,1
"gene94",4.7701373838659e-26,3.33707704558411e-24,1,1
"gene120",1.91346435826802e-25,1.32622052745527e-23,1,1
"gene54",1.93338859376253e-21,1.32773614502108e-19,1,1
"gene51",6.07301934019277e-21,4.1326735733247e-19,1,1
"gene32",2.21622265618851e-19,1.49454685706222e-17,1,1
"gene107",3.9542022760555e-17,2.64277374233351e-15,1,1
"gene45",1.42194471005669e-16,9.41940326764875e-15,1,1
"gene106",8.43769498715119e-15,5.54036139969578e-13,1,1
"gene48",6.52975895576446e-10,4.25028872954718e-08,1,1
"gene102",0.000324337628104132,0.0209294815875301,0,1
"gene162",0.00145967458503149,0.0933876202746934,0,0
"gene826",0.00160004077515896,0.101500496594447,0,0
"gene524",0.00204464667401671,0.12861464788633,0,0
"gene463",0.00207189671123964,0.129242687150453,0,0
"gene889",0.00233653996146976,0.144546295835482,0,0
"gene976",0.00241999108898372,0.148481744093272,0,0
"gene429",0.00263769084731846,0.160523235583274,0,0
"gene371",0.00305273357896874,0.18428345363221,0,0
"gene375",0.00333812791055199,0.199899673625814,0,0
"gene991",0.00621250936395978,0.369075855673152,0,0
"gene140",0.00641238440033409,0.377950524215342,0,0
"gene206",0.0092509689961543,0.540998897285685,0,0
"gene184",0.00968900236392445,0.562222828395038,0,0
"gene606",0.00983368462792455,0.566228921032086,0,0
"gene835",0.0103733579135599,0.592744033496272,0,0
"gene399",0.0112842907165138,0.639910828336689,0,0
"gene409",0.0149295257636759,0.840259624555125,0,0
"gene607",0.0157852341867832,0.881790377105441,0,0
"gene690",0.0162559271209304,0.901357546481144,0,0
"gene412",0.0170714767469755,0.939617953941529,0,0
"gene490",0.0173613109717583,0.948595528321531,0,0
"gene33",0.0699317404818747,1,0,1
"gene57",0.0686038852993105,1,0,1
"gene60",0.107534093895134,1,0,1
"gene111",0.701482374967235,1,0,1
"gene121",0.137347011367036,1,0,0
"gene122",0.747447668413094,1,0,0
"gene123",0.660966783641511,1,0,0
"gene124",0.188780367495243,1,0,0
"gene125",0.027939859545298,1,0,0
"gene126",0.78178696789481,1,0,0
"gene127",0.377189535209962,1,0,0
"gene128",0.107110169518163,1,0,0
"gene129",0.949577172943038,1,0,0
"gene130",0.170008152394054,1,0,0
"gene131",0.532980723089149,1,0,0
"gene132",0.943016037316066,1,0,0
"gene133",0.523907678615275,1,0,0
"gene134",0.201344522421672,1,0,0
"gene135",0.0344710354654116,1,0,0
"gene136",0.493964505894789,1,0,0
"gene137",0.489199542726302,1,0,0
"gene138",0.963614079479102,1,0,0
"gene139",0.817447372157675,1,0,0
"gene141",0.0466578141049359,1,0,0
"gene142",0.236672247720866,1,0,0
"gene143",0.815205812868358,1,0,0
"gene144",0.99629633975572,1,0,0
"gene145",0.932536346208585,1,0,0
"gene146",0.501081607602698,1,0,0
"gene147",0.704349228134884,1,0,0
"gene148",0.577566614038856,1,0,0
"gene149",0.890490578729425,1,0,0
"gene150",0.991824212037717,1,0,0
"gene151",0.638675530477824,1,0,0
"gene152",0.69422472655483,1,0,0
"gene153",0.74272936097314,1,0,0
"gene154",0.839977135579608,1,0,0
"gene155",0.586630204964979,1,0,0
"gene156",0.106552842824316,1,0,0
"gene157",0.879670254076954,1,0,0
"gene158",0.901348280786902,1,0,0
"gene159",0.433045748532871,1,0,0
"gene160",0.510380646120903,1,0,0
"gene161",0.985149289102257,1,0,0
"gene163",0.540265691576213,1,0,0
"gene164",0.401435475193303,1,0,0
"gene165",0.0194260752194706,1,0,0
"gene166",0.905856397487526,1,0,0
"gene167",0.654535927657633,1,0,0
"gene168",0.206503124087083,1,0,0
"gene169",0.741003482395108,1,0,0
"gene170",0.735652033634317,1,0,0
"gene171",0.961131466506473,1,0,0
"gene172",0.224326817647893,1,0,0
"gene173",0.190547375103985,1,0,0
"gene174",0.82606046401963,1,0,0
"gene175",0.823176973110046,1,0,0
"gene176",0.147208941867595,1,0,0
"gene177",0.813930917883335,1,0,0
"gene178",0.526981284090247,1,0,0
"gene179",0.039213304083258,1,0,0
"gene180",0.677669572765297,1,0,0
"gene181",0.0807364895841454,1,0,0
"gene182",0.731468338903212,1,0,0
"gene183",0.3292823315398,1,0,0
"gene185",0.2410218569926,1,0,0
"gene186",0.861789200879015,1,0,0
"gene187",0.288956573456408,1,0,0
"gene188",0.544394319159828,1,0,0
"gene189",0.616914834411697,1,0,0
"gene190",0.606795032145159,1,0,0
"gene191",0.504226125300478,1,0,0
"gene192",0.836932882021096,1,0,0
"gene193",0.490462393173506,1,0,0
"gene194",0.162609977254095,1,0,0
"gene195",0.831594688284994,1,0,0
"gene196",0.393722167650046,1,0,0
"gene197",0.612196629365313,1,0,0
"gene198",0.173363667851169,1,0,0
"gene199",0.375093392647379,1,0,0
"gene200",0.181883592926285,1,0,0
"gene201",0.480429128611446,1,0,0
"gene202",0.997653587994615,1,0,0
"gene203",0.594595290204763,1,0,0
"gene204",0.420878997515947,1,0,0
"gene205",0.298816841968124,1,0,0
"gene207",0.801796205056845,1,0,0
"gene208",0.587247007289305,1,0,0
"gene209",0.693141009758197,1,0,0
"gene210",0.26410688151154,1,0,0
"gene211",0.0229474546826284,1,0,0
"gene212",0.877526509583189,1,0,0
"gene213",0.987318380398025,1,0,0
"gene214",0.120585918905044,1,0,0
"gene215",0.88552393284772,1,0,0
"gene216",0.289713410800255,1,0,0
"gene217",0.543078049355984,1,0,0
"gene218",0.920155887008906,1,0,0
"gene219",0.430889075124013,1,0,0
"gene220",0.252227153384034,1,0,0
"gene221",0.252877196159045,1,0,0
"gene222",0.622923228074524,1,0,0
"gene223",0.806757097437793,1,0,0
"gene224",0.931196718060688,1,0,0
"gene225",0.300383222672272,1,0,0
"gene226",0.965956905971779,1,0,0
"gene227",0.660779228526187,1,0,0
"gene228",0.674298608554193,1,0,0
"gene229",0.796847091230965,1,0,0
"gene230",0.96099720001873,1,0,0
"gene231",0.119878352645891,1,0,0
"gene232",0.52034350547587,1,0,0
"gene233",0.76288539283872,1,0,0
"gene234",0.0775830241111448,1,0,0
"gene235",0.582003766103957,1,0,0
"gene236",0.549228818576782,1,0,0
"gene237",0.765856107521016,1,0,0
"gene238",0.408747189254262,1,0,0
"gene239",0.900446189421443,1,0,0
"gene240",0.871349778319251,1,0,0
"gene241",0.307548286900195,1,0,0
"gene242",0.0281429000874946,1,0,0
"gene243",0.302000832016651,1,0,0
"gene244",0.125607913489351,1,0,0
"gene245",0.43186650986708,1,0,0
"gene246",0.77310514542973,1,0,0
"gene247",0.0483868061657159,1,0,0
"gene248",0.215955055893044,1,0,0
"gene249",0.841099375827355,1,0,0
"gene250",0.350748321712173,1,0,0
"gene251",0.100016695156556,1,0,0
"gene252",0.272378535996405,1,0,0
"gene253",0.646418051227017,1,0,0
"gene254",0.722531338677599,1,0,0
"gene255",0.217989899821497,1,0,0
"gene256",0.18593893215965,1,0,0
"gene257",0.712539882700555,1,0,0
"gene258",0.581995017553077,1,0,0
"gene259",0.0302530859064755,1,0,0
"gene260",0.967370485752461,1,0,0
"gene261",0.190164821268814,1,0,0
"gene262",0.385235326639458,1,0,0
"gene263",0.666266946838715,1,0,0
"gene264",0.75603437560715,1,0,0
"gene265",0.0468983107146133,1,0,0
"gene266",0.61647814201775,1,0,0
"gene267",0.879030467753538,1,0,0
"gene268",0.201692117714823,1,0,0
"gene269",0.996563627619467,1,0,0
"gene270",0.297070920050095,1,0,0
"gene271",0.872133323663256,1,0,0
"gene272",0.963556937103765,1,0,0
"gene273",0.338931345505785,1,0,0
"gene274",0.674924760169049,1,0,0
"gene275",0.652200576046445,1,0,0
"gene276",0.749473875241545,1,0,0
"gene277",0.646356184496786,1,0,0
"gene278",0.879396285004256,1,0,0
"gene279",0.173467131762972,1,0,0
"gene280",0.951731405011961,1,0,0
"gene281",0.597760933442134,1,0,0
"gene282",0.29580895225894,1,0,0
