"gene","combinedPval","adjustedPval","pred","truth"
"gene1",0,0,1,1
"gene2",0,0,1,1
"gene3",0,0,1,1
"gene4",0,0,1,1
"gene5",0,0,1,1
"gene6",0,0,1,1
"gene7",0,0,1,1
"gene8",0,0,1,1
"gene9",0,0,1,1
"gene10",0,0,1,1
"gene11",0,0,1,1
"gene12",0,0,1,1
"gene13",0,0,1,1
"gene14",0,0,1,1
"gene15",0,0,1,1
"gene16",0,0,1,1
"gene17",0,0,1,1
"gene18",0,0,1,1
"gene19",0,0,1,1
"gene20",0,0,1,1
"gene21",0,0,1,1
"gene22",0,0,1,1
"gene23",0,0,1,1
"gene24",0,0,1,1
"gene25",0,0,1,1
"gene26",0,0,1,1
"gene27",0,0,1,1
"gene28",0,0,1,1
"gene29",0,0,1,1
"gene30",0,0,1,1
"gene31",0,0,1,1
"gene32",0,0,1,1
"gene34",0,0,1,1
"gene35",0,0,1,1
"gene37",0,0,1,1
"gene40",0,0,1,1
"gene43",0,0,1,1
"gene46",0,0,1,1
"gene49",0,0,1,1
"gene50",0,0,1,1
"gene52",0,0,1,1
"gene55",0,0,1,1
"gene58",0,0,1,1
"gene63",0,0,1,1
"gene65",0,0,1,1
"gene68",0,0,1,1
"gene70",0,0,1,1
"gene73",0,0,1,1
"gene74",0,0,1,1
"gene75",0,0,1,1
"gene77",0,0,1,1
"gene78",0,0,1,1
"gene80",0,0,1,1
"gene82",0,0,1,1
"gene83",0,0,1,1
"gene85",0,0,1,1
"gene88",0,0,1,1
"gene90",0,0,1,1
"gene91",0,0,1,1
"gene92",0,0,1,1
"gene93",0,0,1,1
"gene95",0,0,1,1
"gene99",0,0,1,1
"gene105",0,0,1,1
"gene109",0,0,1,1
"gene110",0,0,1,1
"gene114",0,0,1,1
"gene115",0,0,1,1
"gene113",2.55274804337629e-305,2.7693508830464e-303,1,1
"gene72",2.90226107546682e-302,3.10354153001662e-300,1,1
"gene62",7.20712035451747e-301,7.59840695805912e-299,1,1
"gene89",3.26670865933611e-289,3.39622951102332e-287,1,1
"gene103",1.02198712617862e-268,1.04795271957091e-266,1,1
"gene64",4.72135880046525e-263,4.77589104366021e-261,1,1
"gene117",3.48231163120762e-254,3.47556563236802e-252,1,1
"gene116",7.66428267310793e-249,7.54878481796978e-247,1,1
"gene119",1.54947857640771e-248,1.50630866659051e-246,1,1
"gene97",5.43743735484426e-246,5.21817677894291e-244,1,1
"gene104",2.30099453467614e-245,2.18025665058276e-243,1,1
"gene71",2.15565267317455e-241,2.01700940881444e-239,1,1
"gene118",2.78378327133791e-239,2.57258377280092e-237,1,1
"gene86",2.95032271996072e-233,2.69323838408361e-231,1,1
"gene84",9.12090269660245e-233,8.2258134165461e-231,1,1
"gene87",1.01264173687218e-217,9.02392882563551e-216,1,1
"gene47",9.22940379958269e-214,8.12781567082693e-212,1,1
"gene67",1.9850793829772e-203,1.72782021827384e-201,1,1
"gene53",1.78415777741539e-173,1.53508747741002e-171,1,1
"gene76",1.22377557573349e-169,1.04097004681889e-167,1,1
"gene96",2.61511130855937e-157,2.19947634801313e-155,1,1
"gene66",1.48527559452619e-155,1.23533190919027e-153,1,1
"gene59",8.89661726742755e-139,7.31817245195582e-137,1,1
"gene100",1.22187183614683e-135,9.94161524435241e-134,1,1
"gene69",1.58122057973426e-119,1.27270758857025e-117,1,1
"gene79",6.12230071482465e-119,4.87535144684537e-117,1,1
"gene61",1.82780931536893e-115,1.44021193356175e-113,1,1
"gene44",3.4297566321986e-96,2.67430659678145e-94,1,1
"gene56",9.35587081964078e-84,7.21990705108189e-82,1,1
"gene81",9.88813671618027e-84,7.552791760623e-82,1,1
"gene94",1.65593497807522e-81,1.25206596215638e-79,1,1
"gene41",1.11638063610711e-71,8.35663472086244e-70,1,1
"gene101",5.24805020046152e-59,3.88951750992674e-57,1,1
"gene108",1.09617336658138e-49,8.04448411142777e-48,1,1
"gene38",6.13293890259436e-48,4.45708111115589e-46,1,1
"gene106",8.35346860916466e-28,6.01246594792539e-26,1,1
"gene98",4.46833794481927e-25,3.18548699819391e-23,1,1
"gene120",1.026885964174e-20,7.25162732257796e-19,1,1
"gene42",4.44089209850063e-16,3.10674471010979e-14,1,1
"gene33",5.55111512312578e-16,3.84747319423318e-14,1,1
"gene45",3.99680288865056e-15,2.74476619801443e-13,1,1
"gene51",5.43876055303372e-12,3.70106214884041e-10,1,1
"gene112",1.96017646558744e-11,1.32187782114336e-09,1,1
"gene54",4.99204007020637e-08,3.33640807859192e-06,1,1
"gene48",1.53075555063831e-05,0.00101402000609989,1,1
"gene39",0.000165521313164163,0.0108684646183366,0,1
"gene36",0.000312370837419196,0.0203325460972791,0,1
"gene102",0.000548571478387272,0.035399274279284,0,1
"gene950",0.00147179042657108,0.0941627722302121,0,0
"gene703",0.00243477529836467,0.154452877524546,0,0
"gene581",0.00276019156859519,0.173624651733244,0,0
"gene762",0.00623921900197177,0.389195766932098,0,0
"gene378",0.00688160633656487,0.425719534761446,0,0
"gene673",0.0069735489221997,0.427871288948755,0,0
"gene195",0.0072288492408632,0.43992959632352,0,0
"gene57",0.00846939772149269,0.511269595569718,0,1
"gene877",0.0107218885068574,0.642067071905206,0,0
"gene620",0.0111234786623059,0.660829169798764,0,0
"gene492",0.0124315197907259,0.732722670439634,0,0
"gene779",0.0133485675910533,0.780627451038407,0,0
"gene437",0.0138026808133818,0.800926860667027,0,0
"gene221",0.0150962221751869,0.869248701513505,0,0
"gene411",0.0153614033636169,0.877765933248202,0,0
"gene839",0.016819194246565,0.953784760837864,0,0
"gene671",0.0173750620660916,0.977898652601373,0,0
"gene60",0.0421664188024744,1,0,1
"gene107",0.275833645677766,1,0,1
"gene111",0.704440228546616,1,0,1
"gene121",0.871631418244381,1,0,0
"gene122",0.0401924331149182,1,0,0
"gene123",0.905652914671113,1,0,0
"gene124",0.205773196339125,1,0,0
"gene125",0.472885148322449,1,0,0
"gene126",0.471239418036318,1,0,0
"gene127",0.774089205752065,1,0,0
"gene128",0.433058559422526,1,0,0
"gene129",0.0185216713175491,1,0,0
"gene130",0.85166943543971,1,0,0
"gene131",0.331111592604386,1,0,0
"gene132",0.619175501820796,1,0,0
"gene133",0.574309959134416,1,0,0
"gene134",0.165246199228298,1,0,0
"gene135",0.0872036355513812,1,0,0
"gene136",0.559018508352713,1,0,0
"gene137",0.137841903728416,1,0,0
"gene138",0.172920736940553,1,0,0
"gene139",0.606382968501035,1,0,0
"gene140",0.137123704715908,1,0,0
"gene141",0.138593986111222,1,0,0
"gene142",0.480084394773903,1,0,0
"gene143",0.18285682561159,1,0,0
"gene144",0.226310795146825,1,0,0
"gene145",0.865648497963551,1,0,0
"gene146",0.282085188926911,1,0,0
"gene147",0.784664441969149,1,0,0
"gene148",0.928606349854109,1,0,0
"gene149",0.303434676220874,1,0,0
"gene150",0.887491743897933,1,0,0
"gene151",0.311292305066517,1,0,0
"gene152",0.828215685339641,1,0,0
"gene153",0.443156876313645,1,0,0
"gene154",0.838978699544166,1,0,0
"gene155",0.0378431834791686,1,0,0
"gene156",0.189850279213619,1,0,0
"gene157",0.331804098715882,1,0,0
"gene158",0.461132912682015,1,0,0
"gene159",0.781644325099621,1,0,0
"gene160",0.259924090693945,1,0,0
"gene161",0.392779366872017,1,0,0
"gene162",0.92685768183009,1,0,0
"gene163",0.165872983119318,1,0,0
"gene164",0.372017090543261,1,0,0
"gene165",0.307042644997146,1,0,0
"gene166",0.752811159489534,1,0,0
"gene167",0.162144978961553,1,0,0
"gene168",0.899999527428302,1,0,0
"gene169",0.14765647242717,1,0,0
"gene170",0.709847233996032,1,0,0
"gene171",0.788869396866246,1,0,0
"gene172",0.167596941780704,1,0,0
"gene173",0.375542329190128,1,0,0
"gene174",0.227525893170041,1,0,0
"gene175",0.80659946132709,1,0,0
"gene176",0.801111810814568,1,0,0
"gene177",0.859146684771452,1,0,0
"gene178",0.70723064556483,1,0,0
"gene179",0.608834628153693,1,0,0
"gene180",0.936533631626142,1,0,0
"gene181",0.273055606971737,1,0,0
"gene182",0.776817481045191,1,0,0
"gene183",0.950669264746043,1,0,0
"gene184",0.369630066120592,1,0,0
"gene185",0.857411802811173,1,0,0
"gene186",0.0483069129442146,1,0,0
"gene187",0.429473549183218,1,0,0
"gene188",0.408405154134215,1,0,0
"gene189",0.218168161761486,1,0,0
"gene190",0.309558176921296,1,0,0
"gene191",0.757963571089412,1,0,0
"gene192",0.463169185775367,1,0,0
"gene193",0.752110308672611,1,0,0
"gene194",0.0259831736755259,1,0,0
"gene196",0.687337810651563,1,0,0
