
Overlap Results

Collection(s):	GO
# overlaps shown:	100
# genesets in collections:	10747
# genes in comparison (n):	322
# genes in universe (N):	46395

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
GOBP_CELL_CELL_SIGNALING	1506	Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions. [GOC:dos, GOC:mah]	82	0.0544	6.58E-49	7.07E-45
GOBP_SYNAPTIC_SIGNALING	1035	Cell-cell signaling to, from or within a synapse. [GOC:dos]	68	0.0657	1.86E-45	9.98E-42
GOCC_NEURON_PROJECTION	1653	A prolongation or process extending from a nerve cell, e.g. an axon or dendrite. [GOC:jl, PMID:3077060]	80	0.0484	7.03E-44	2.52E-40
GOCC_SOMATODENDRITIC_COMPARTMENT	1211	The region of a neuron that includes the cell body (cell soma) and dendrite(s), but excludes the axon. [GOC:pad, GOC:PARL]	68	0.0562	4.25E-41	1.14E-37
GOBP_BEHAVIOR	882	The internally coordinated responses (actions or inactions) of animals (individuals or groups) to internal or external stimuli, via a mechanism that involves nervous system activity. [GOC:ems, GOC:jl, ISBN:0395448956, PMID:20160973]	59	0.0669	9.08E-40	1.95E-36
GOCC_EXTRACELLULAR_SPACE	1793	That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid. [ISBN:0198547684]	77	0.0429	1.53E-38	2.74E-35
GOCC_AXON	883	The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals and varicosities, which are sites of storage and release of neurotransmitter. [GOC:nln, ISBN:0198506732]	55	0.0623	1.93E-35	2.96E-32
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	778	Any process that modulates the frequency, rate or extent of trans-synaptic signaling. [GOC:dos]	50	0.0643	7.36E-33	9.88E-30
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	1957	Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs. [GOC:ai]	72	0.0368	1.11E-31	1.33E-28
GOCC_CELL_BODY	914	The portion of a cell bearing surface projections such as axons, dendrites, cilia, or flagella that includes the nucleus, but excludes all cell projections. [GOC:go_curators]	52	0.0569	1.34E-31	1.45E-28
GOBP_REGULATION_OF_TRANSPORT	1895	Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]	70	0.0369	7.08E-31	6.92E-28
GOMF_SIGNALING_RECEPTOR_BINDING	1669	Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function. [GOC:bf, GOC:ceb, ISBN:0198506732]	65	0.0389	6.49E-30	5.81E-27
GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	1811	Any process that modulates the frequency, rate or extent of cell proliferation. [GOC:jl]	65	0.0359	6.48E-28	5.35E-25
GOCC_DENDRITIC_TREE	867	The entire complement of dendrites for a neuron, consisting of each primary dendrite and all its branches. [GOC:aruk, GOC:bc, NIF_Subcellular:sao172297168]	45	0.0519	9.76E-26	7.44E-23
GOBP_GENERATION_OF_NEURONS	1796	The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons. [GOC:nln]	62	0.0345	1.04E-25	7.44E-23
GOCC_PRESYNAPSE	931	The part of a synapse that is part of the presynaptic cell. [GOC:dos]	46	0.0494	2.1E-25	1.41E-22
GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY	117	A G protein-coupled receptor signaling pathway initiated by a neuropeptide binding to its receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process. [GOC:mah, ISBN:0815316194]	22	0.1880	2.96E-25	1.87E-22
GOBP_REGULATION_OF_SYSTEM_PROCESS	674	Any process that modulates the frequency, rate or extent of a system process, a multicellular organismal process carried out by any of the organs or tissues in an organ system. [GOC:jl]	40	0.0593	4.35E-25	2.6E-22
GOBP_MONOATOMIC_ION_TRANSPORT	1329	The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom. [GOC:ai]	53	0.0399	7.8E-25	4.41E-22
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	1561	Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult). [GOC:ai]	57	0.0365	8.2E-25	4.41E-22
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	300	A G protein-coupled receptor signaling pathway in which the signal is transmitted via the activation or inhibition of adenylyl cyclase activity and a subsequent change in the intracellular concentration of cyclic AMP (cAMP). [GOC:mah, GOC:signaling, ISBN:0815316194]	29	0.0967	2.51E-24	1.28E-21
GOBP_COGNITION	414	The operation of the mind by which an organism becomes aware of objects of thought or perception; it includes the mental activities associated with thinking, learning, and memory. [ISBN:0721619908]	32	0.0773	1.03E-23	5.05E-21
GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	1294	Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs. [GOC:ai]	51	0.0394	1.12E-23	5.22E-21
GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	1094	The process whose specific outcome is the progression of the central nervous system over time, from its formation to the mature structure. The central nervous system is the core nervous system that serves an integrating and coordinating function. In vertebrates it consists of the brain and spinal cord. In those invertebrates with a central nervous system it typically consists of a brain, cerebral ganglia and a nerve cord. [GOC:bf, GOC:jid, ISBN:0582227089]	47	0.0430	2.15E-23	9.62E-21
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	1322	The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis. [GOC:mah, UBERON:0001009]	50	0.0378	1.91E-22	8.22E-20
GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	545	Any process that modulates the establishment or extent of a membrane potential, the electric potential existing across any membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane. [GOC:jl, GOC:mtg_cardio, GOC:tb, ISBN:0198506732]	34	0.0624	3.89E-22	1.61E-19
GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY	688	Binds to and modulates the activity of a receptor. [GOC:ceb]	37	0.0538	8.33E-22	3.31E-19
GOBP_CELL_MIGRATION	1689	The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues. [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]	55	0.0326	1.26E-21	4.85E-19
GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	1695	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism. [GOC:sm]	55	0.0324	1.49E-21	5.52E-19
GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	1054	A process in which a monoatomic ion is transported across a membrane. Monatomic ions (also called simple ions) are ions consisting of exactly one atom. [GOC:mah]	44	0.0417	1.88E-21	6.73E-19
GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION	1770	Any process that activates or increases the frequency, rate or extent of signal transduction. [GOC:sm]	56	0.0316	1.98E-21	6.85E-19
GOCC_SYNAPTIC_MEMBRANE	599	A specialized area of membrane on either the presynaptic or the postsynaptic side of a synapse, the junction between a nerve fiber of one neuron and another neuron or muscle fiber or glial cell. [GOC:BHF, PMID:20410104]	34	0.0568	7.66E-21	2.57E-18
GOCC_NEURON_PROJECTION_TERMINUS	240	The specialized, terminal region of a neuron projection such as an axon or a dendrite. [GOC:jl]	24	0.1000	1.12E-20	3.64E-18
GOBP_CELL_MOTILITY	1992	Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another. [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]	58	0.0291	1.8E-20	5.7E-18
GOBP_REGULATION_OF_CELL_DIFFERENTIATION	1794	Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features. [GOC:go_curators]	55	0.0307	1.99E-20	6.1E-18
GOBP_SECRETION	1196	The controlled release of a substance by a cell or a tissue. [GOC:ai]	45	0.0376	3.67E-20	1.09E-17
GOCC_PLASMA_MEMBRANE_REGION	1562	A membrane that is a (regional) part of the plasma membrane. [GOC:dos]	51	0.0327	4.03E-20	1.17E-17
GOBP_INTRACELLULAR_SIGNALING_CASSETTE	1976	An intracellular signaling module that is part of larger signaling pathways that can be initiated either intracellularly or by cell surface receptors. Intracellular signaling cassettes are discrete signaling units that are often shared by multiple signaling pathways. [GOC:ha, GOC:pg]	57	0.0288	6.23E-20	1.75E-17
GOBP_TRANSMEMBRANE_TRANSPORT	1643	The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other. [GOC:dph, GOC:jid]	52	0.0316	6.35E-20	1.75E-17
GOBP_EXPORT_FROM_CELL	1109	The directed movement of some substance from a cell, into the extracellular region. This may occur via transport across the plasma membrane or via exocytosis. [GOC:pg]	43	0.0388	8.87E-20	2.34E-17
GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING	327	Binding to a G protein-coupled receptor. [GOC:ceb, GOC:dph]	26	0.0795	8.92E-20	2.34E-17
GOBP_HEAD_DEVELOPMENT	844	The biological process whose specific outcome is the progression of a head from an initial condition to its mature state. The head is the anterior-most division of the body. [GOC:dph]	38	0.0450	9.94E-20	2.54E-17
GOBP_CIRCULATORY_SYSTEM_PROCESS	612	An organ system process carried out by any of the organs or tissues of the circulatory system. The circulatory system is an organ system that moves extracellular fluids to and from tissue within a multicellular organism. [GOC:mtg_cardio]	33	0.0539	1.39E-19	3.47E-17
GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	1016	Any process that activates or increases the frequency, rate or extent of cell differentiation. [GOC:go_curators]	41	0.0404	1.65E-19	4.03E-17
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	1622	Any process that modulates the frequency, rate or extent of multicellular organismal development. [GOC:obol]	51	0.0314	1.99E-19	4.75E-17
GOBP_MONOATOMIC_CATION_TRANSPORT	1117	The directed movement of a monoatomic cation, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom. [GOC:ai]	42	0.0376	7.48E-19	1.75E-16
GOBP_REGULATION_OF_SECRETION	797	Any process that modulates the frequency, rate or extent of the controlled release of a substance from a cell or a tissue. [GOC:ai]	36	0.0452	8.8E-19	2.01E-16
GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	1133	Any process that stops, prevents or reduces the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult). [GOC:ai]	42	0.0371	1.25E-18	2.8E-16
GOBP_FEEDING_BEHAVIOR	150	Behavior associated with the intake of food. [GOC:mah]	19	0.1267	1.39E-18	3.04E-16
GOMF_PEPTIDE_RECEPTOR_ACTIVITY	131	Combining with an extracellular or intracellular peptide to initiate a change in cell activity. [GOC:jl]	18	0.1374	2.53E-18	5.44E-16
GOCC_POSTSYNAPTIC_MEMBRANE	416	A specialized area of membrane facing the presynaptic membrane on the tip of the nerve ending and separated from it by a minute cleft (the synaptic cleft). Neurotransmitters cross the synaptic cleft and transmit the signal to the postsynaptic membrane. [ISBN:0198506732]	27	0.0649	3.13E-18	6.6E-16
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	504	A structure that lies outside the plasma membrane and surrounds the entire cell or cells. This does not include the periplasmic space. [GOC:go_curators]	29	0.0575	4.35E-18	8.99E-16
GOBP_METAL_ION_TRANSPORT	948	The directed movement of metal ions, any metal ion with an electric charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]	38	0.0401	4.8E-18	9.74E-16
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	1186	Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions. [GOC:dgh, GOC:go_curators, ISBN:0471245208, ISBN:0721662544]	42	0.0354	6.41E-18	1.27E-15
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	1918	Any process that stops, prevents, or reduces the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. [GOC:jid]	53	0.0276	9.37E-18	1.83E-15
GOBP_MUSCLE_SYSTEM_PROCESS	521	An organ system process carried out at the level of a muscle. Muscle tissue is composed of contractile cells or fibers. [GOC:mtg_cardio]	29	0.0557	1.05E-17	2.02E-15
GOCC_DISTAL_AXON	438	That part of an axon close to and including the growth cone or the axon terminus. [GOC:aruk, GOC:bc, PMID:17202468]	27	0.0616	1.15E-17	2.16E-15
GOBP_TUBE_DEVELOPMENT	1285	The process whose specific outcome is the progression of a tube over time, from its initial formation to a mature structure. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues including lung and trachea, kidney, the mammary gland, the vascular system and the gastrointestinal and urinary-genital tracts. [PMID:12526790]	43	0.0335	1.94E-17	3.6E-15
GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	881	The process in which a monoatomic cation is transported across a membrane. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom. [GOC:dos, GOC:vw]	36	0.0409	2.1E-17	3.82E-15
GOBP_REGULATION_OF_BEHAVIOR	124	Any process that modulates the frequency, rate or extent of behavior, the internally coordinated responses (actions or inactions) of whole living organisms (individuals or groups) to internal or external stimuli. [GOC:go_curators, GOC:pr]	17	0.1371	2.33E-17	4.17E-15
GOBP_LOCOMOTION	1356	Self-propelled movement of a cell or organism from one location to another. [GOC:dgh]	44	0.0324	2.45E-17	4.32E-15
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	204	A G protein-coupled receptor signaling pathway in which the signal is transmitted via the activation of adenylyl cyclase activity which results in an increase in the intracellular concentration of cyclic AMP (cAMP). This pathway is negatively regulated by phosphodiesterase, which cleaves cAMP and terminates the signaling. [GOC:dph, GOC:mah, GOC:signaling, GOC:tb, ISBN:0815316194]	20	0.0980	2.88E-17	4.99E-15
GOBP_SIGNAL_RELEASE	638	The process in which a signal is secreted or discharged into the extracellular medium from a cellular source. [GOC:mtg_signal]	31	0.0486	3.45E-17	5.88E-15
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	1245	Any process that activates or increases the frequency, rate or extent of intracellular signal transduction. [GOC:BHF, GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]	42	0.0337	3.57E-17	5.99E-15
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	594	The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton). [GOC:dph, GOC:jid, GOC:tb]	30	0.0505	4.01E-17	6.63E-15
GOBP_REGULATION_OF_BLOOD_PRESSURE	239	Any process that modulates the force with which blood travels through the circulatory system. The process is controlled by a balance of processes that increase pressure and decrease pressure. [GOC:dph, GOC:mtg_cardio, ISBN:0721643949]	21	0.0879	4.34E-17	7.03E-15
GOCC_CELL_SURFACE	1131	The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]	40	0.0354	4.38E-17	7.03E-15
GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE	70	Any process in which the force of blood traveling through the circulatory system is decreased. [GOC:go_curators, GOC:mtg_cardio]	14	0.2000	6.18E-17	9.76E-15
GOBP_CELL_ADHESION	1536	The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules. [GOC:hb, GOC:pf]	46	0.0299	8.92E-17	1.39E-14
GOBP_NEURON_DEVELOPMENT	1418	The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell. [GOC:dph]	44	0.0310	1.25E-16	1.91E-14
GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY	1292	A molecular function regulator that activates or increases the activity of its target via non-covalent binding that does not result in covalent modification to the target. [GOC:curators]	42	0.0325	1.31E-16	1.98E-14
GOBP_POSITIVE_REGULATION_OF_TRANSPORT	1067	Any process that activates or increases the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]	38	0.0356	2.27E-16	3.38E-14
GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	739	Enables the transfer of an ion from one side of a membrane to the other. [GOC:dgf, GOC:mtg_transport, ISBN:0815340729]	32	0.0433	2.75E-16	4.05E-14
GOBP_AMINO_ACID_TRANSPORT	199	The directed movement of amino acids, organic acids containing one or more amino substituents, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]	19	0.0955	2.98E-16	4.32E-14
GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	1082	Any process that activates or increases the rate or extent of cell proliferation. [GOC:go_curators]	38	0.0351	3.55E-16	5.09E-14
GOBP_REGULATION_OF_TUBE_SIZE	204	Ensuring that a tube is of the correct length and diameter. Tube size must be maintained not only during tube formation, but also throughout development and in some physiological processes. [PMID:10887083]	19	0.0931	4.73E-16	6.68E-14
GOMF_HORMONE_ACTIVITY	148	The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process. [GOC:dph, GOC:mah, ISBN:0198506732]	17	0.1149	4.92E-16	6.87E-14
