"gene","p0g","pred"
"ABCC9",0,1
"ADAMTS15",0,1
"ADCY1",0,1
"ADCYAP1R1",0,1
"ADORA1",0,1
"ADORA2B",0,1
"ADORA3",0,1
"ADRA1B",0,1
"ADRB1",0,1
"ADRB3",0,1
"AGRP",0,1
"ALCAM",0,1
"ANPEP",0,1
"ANXA11",0,1
"ARG1",0,1
"ARHGAP36",0,1
"ARSJ",0,1
"ASS1",0,1
"AVP",0,1
"B3GAT2",0,1
"BAIAP2L1",0,1
"BDKRB2",0,1
"BMP3",0,1
"C1QL2",0,1
"C1QTNF7",0,1
"CACNA2D2",0,1
"CACNG4",0,1
"CALB2",0,1
"CALCR",0,1
"CAMK2D",0,1
"CAR4",0,1
"CAR8",0,1
"CBLN2",0,1
"CBLN4",0,1
"CBS",0,1
"CCK",0,1
"CCKBR",0,1
"CCND2",0,1
"CCSAP",0,1
"CD93",0,1
"CDC20",0,1
"CDH7",0,1
"CDK1",0,1
"CFAP58",0,1
"CFH",0,1
"CHRM1",0,1
"CHRM4",0,1
"CHRM5",0,1
"CLDN19",0,1
"CLU",0,1
"CNN1",0,1
"CNR2",0,1
"COCH",0,1
"COL12A1",0,1
"COL19A1",0,1
"COL20A1",0,1
"COL24A1",0,1
"COL3A1",0,1
"COL5A1",0,1
"CORO6",0,1
"CORT",0,1
"CPA6",0,1
"CPB1",0,1
"CPLX3",0,1
"CPNE5",0,1
"CRCT1",0,1
"CRH",0,1
"CSRP2",0,1
"CUX2",0,1
"DAPL1",0,1
"DCN",0,1
"DDIT4L",0,1
"DGKK",0,1
"DKK3",0,1
"DLX2",0,1
"EBF3",0,1
"ELFN1",0,1
"EMID1",0,1
"EMX2",0,1
"EN1",0,1
"EPHA7",0,1
"ETV1",0,1
"FAM169B",0,1
"FAM183B",0,1
"FAM92B",0,1
"FAT2",0,1
"FERMT1",0,1
"FEZF1",0,1
"FEZF2",0,1
"GABRA5",0,1
"GABRQ",0,1
"GCHFR",0,1
"GFRA1",0,1
"GHRHR",0,1
"GLRA3",0,1
"GPSM3",0,1
"GPX3",0,1
"GRM3",0,1
"HAP1",0,1
"HAPLN1",0,1
"HCRTR2",0,1
"HDC",0,1
"HOXA5",0,1
"HOXA9",0,1
"HOXB5",0,1
"HOXB7",0,1
"HPCAL1",0,1
"HS3ST2",0,1
"HS3ST4",0,1
"HTR2B",0,1
"HTR2C",0,1
"IGFBP2",0,1
"IGFBP4",0,1
"IGFBP6",0,1
"IGSF8",0,1
"IL1R1",0,1
"INHBA",0,1
"INMT",0,1
"INSRR",0,1
"IRX4",0,1
"ITIH3",0,1
"JUNB",0,1
"KCNAB3",0,1
"KCNC3",0,1
"KCNG1",0,1
"KCNH8",0,1
"KCNMB2",0,1
"KCNS1",0,1
"KISS1R",0,1
"KIT",0,1
"KITL",0,1
"KLHL1",0,1
"KRT12",0,1
"KRT15",0,1
"KRT27",0,1
"LAMP5",0,1
"LANCL3",0,1
"LCN2",0,1
"LEFTY1",0,1
"LHX8",0,1
"LMO1",0,1
"LPAR3",0,1
"LPL",0,1
"LSAMP",0,1
"LTK",0,1
"LY6A",0,1
"LY6G6E",0,1
"LYPD6B",0,1
"MAOB",0,1
"MAP3K7CL",0,1
"MDGA1",0,1
"MFGE8",0,1
"MGP",0,1
"MLC1",0,1
"MMP2",0,1
"MPZ",0,1
"MRAP2",0,1
"MRC1",0,1
"MRGPRD",0,1
"MS4A15",0,1
"MTNR1A",0,1
"MUSTN1",0,1
"NEUROD2",0,1
"NEUROD6",0,1
"NMS",0,1
"NOTUM",0,1
"NOV",0,1
"NPBWR1",0,1
"NPTX1",0,1
"NPY",0,1
"NPY1R",0,1
"NPY4R",0,1
"NR4A3",0,1
"NRGN",0,1
"NTSR1",0,1
"NTSR2",0,1
"NXPH1",0,1
"NYAP2",0,1
"OPRD1",0,1
"OSCP1",0,1
"OXT",0,1
"PAK4",0,1
"PARP14",0,1
"PDE1A",0,1
"PDGFRA",0,1
"PDLIM1",0,1
"PDZK1IP1",0,1
"PF4",0,1
"PGR15L",0,1
"PIK3R3",0,1
"PLCXD2",0,1
"PMCH",0,1
"PNMT",0,1
"POMC",0,1
"POU4F2",0,1
"PPP1R3G",0,1
"PRC1",0,1
"PRKCG",0,1
"PROCR",0,1
"PRX",0,1
"PTPRZ1",0,1
"PVALB",0,1
"PYY",0,1
"RARRES1",0,1
"RASL10A",0,1
"RBP4",0,1
"RELN",0,1
"RGS14",0,1
"RGS4",0,1
"RGS9",0,1
"RPS24",0,1
"RSPO3",0,1
"RXFP1",0,1
"RXRG",0,1
"SAPCD2",0,1
"SATB1",0,1
"SATB2",0,1
"SCN4B",0,1
"SCTR",0,1
"SEMA4D",0,1
"SEMA5A",0,1
"SEZ6",0,1
"SLA",0,1
"SLA2",0,1
"SLC17A7",0,1
"SLC17A8",0,1
"SLC18A3",0,1
"SLC30A3",0,1
"SLC47A1",0,1
"SLC6A11",0,1
"SLC6A13",0,1
"SLC6A2",0,1
"SLC6A3",0,1
"SLN",0,1
"SMIM17",0,1
"SMOC1",0,1
"SNCG",0,1
"SOX11",0,1
"SOX14",0,1
"SPARC",0,1
"SPINK8",0,1
"ST18",0,1
"STAC2",0,1
"STARD8",0,1
"STK32B",0,1
"SULF1",0,1
"SULF2",0,1
"SUMO2",0,1
"TBR1",0,1
"TCERG1L",0,1
"TCF4",0,1
"TEDDM3",0,1
"TIMP4",0,1
"TLX3",0,1
"TMEM119",0,1
"TMEM132C",0,1
"TMEM163",0,1
"TMEM233",0,1
"TMEM255B",0,1
"TMEM72",0,1
"TNNT1",0,1
"TPH2",0,1
"TUBGCP2",0,1
"TYRP1",0,1
"UBE2C",0,1
"UCN",0,1
"UGT8A",0,1
"VCAN",0,1
"VGLL3",0,1
"VIP",0,1
"VWF",0,1
"WIF1",0,1
"WNT2",0,1
"ZFHX4",0,1
"DLX1",5e-04,1
"PROK2",5e-04,1
"ECEL1",0.0015,1
"RORB",0.0015,1
"ZBTB20",0.0015,1
"KCNMB1",0.002,1
"RASL11A",0.005,1
"MFSD2A",0.006,1
"MKI67",0.006,1
"NPFF",0.006,1
"GLRA1",0.007,1
"TRPV1",0.007,1
"PAX8",0.0095,1
"CDH13",0.0105,1
"AFP",0.0115,1
"GRIK1",0.012,1
"TCAP",0.0125,1
"SEMA3A",0.0145,1
"TACR1",0.015,1
"MYOC",0.017,1
"TAX1BP3",0.028,1
"CLIC6",0.031,1
"DKK1",0.032,1
"FOXP2",0.0385,1
"SPHKAP",0.0455,1
"VWC2L",0.0485,1
"MFAP4",0.0495,1
"CLDN10",0.0505,1
"CRIM1",0.0555,1
"GPX2",0.0605,1
"FBP2",0.063,1
"NELL1",0.066,1
"CCN4",0.072,1
"TEKT5",0.0745,1
"IYD",0.087,1
"MEOX1",0.0915,1
"TFAP2D",0.0935,1
"CD74",0.096,1
"LRG1",0.102,1
"PBX3",0.107,1
"DLK1",0.1305,1
"SST",0.1365,1
"RLN3",0.142,1
"TRP73",0.1625,1
"SLC17A6",0.1875,1
"NXPH4",0.2885,1
"TNF",0.317,1
"NDST4",0.345,1
"ADA",0.3505,1
"LMO3",0.3525,1
"NDUFA4L2",0.3745,1
"CHRNA3",0.436,1
"NPTX2",0.546,1
"CRYM",0.6225,1
"CHRNB3",0.637,1
"GRP",0.6965,1
"GNRHR",0.7405,1
"CASR",0.755,1
"ZMYM1",0.87,1
"BRCA1",0.8885,1
"ADM",0.896,1
"HSPA1A",0.897,1
"DPY19L1",0.899,1
"GAD2",0.9055,1
"RELL1",0.9215,1
"SIX6",0.9275,1
"RAMP3",0.9455,1
"OTX1",0.951,0
"GPR101",0.9555,0
"SLC13A3",0.9565,0
"SNTB1",0.962,0
