"gene","p0g","geosvg_pred","scbsp_pvalue","scbsp_pred","raw_zero_prop","category"
"ABCC9",0,1,0.797210585465799,0,0.996309161962657,"GeoSVG-3D only"
"ADAMTS15",0,1,0.698689309355295,0,0.992401215805471,"GeoSVG-3D only"
"ADCY1",0,1,0.509852708567111,0,0.983282674772036,"GeoSVG-3D only"
"ADCYAP1R1",0,1,0.000993940845895436,1,0.684107685627443,"Both"
"ADORA1",0,1,0.0410402552857829,1,0.917607468519323,"Both"
"ADORA2B",0,1,0.835490257927631,0,0.995332175423361,"GeoSVG-3D only"
"ADORA3",0,1,0.877759556084306,0,0.996526270082501,"GeoSVG-3D only"
"ADRA1B",0,1,0.733221527829778,0,0.992509769865393,"GeoSVG-3D only"
"ADRB1",0,1,0.333997211880076,0,0.982957012592271,"GeoSVG-3D only"
"ADRB3",0,1,0.51282742638932,0,0.997937472861485,"GeoSVG-3D only"
"AGRP",0,1,0.661438910949406,0,0.992075553625706,"GeoSVG-3D only"
"ALCAM",0,1,0.00772066937095428,1,0.817520625271385,"Both"
"ANPEP",0,1,0.871570557510017,0,0.996309161962657,"GeoSVG-3D only"
"ANXA11",0,1,0.212176549667132,0,0.972210160660009,"GeoSVG-3D only"
"ARG1",0,1,0.948545333864258,0,0.997394702561876,"GeoSVG-3D only"
"ARHGAP36",0,1,0.0583859723430435,0,0.942249240121581,"GeoSVG-3D only"
"ARSJ",0,1,0.674574890659896,0,0.994789405123752,"GeoSVG-3D only"
"ASS1",0,1,0.0056639021064101,1,0.807316543638732,"Both"
"AVP",0,1,0.616305368592702,0,0.995549283543204,"GeoSVG-3D only"
"B3GAT2",0,1,0.1715932790269,0,0.962765957446808,"GeoSVG-3D only"
"BAIAP2L1",0,1,0.880993781745501,0,0.996309161962657,"GeoSVG-3D only"
"BDKRB2",0,1,0.760784863377068,0,0.995006513243595,"GeoSVG-3D only"
"BMP3",0,1,0.620326901878847,0,0.994572297003908,"GeoSVG-3D only"
"C1QL2",0,1,0.801570003173041,0,0.993703864524533,"GeoSVG-3D only"
"C1QTNF7",0,1,0.72846155793937,0,0.99706904038211,"GeoSVG-3D only"
"CACNA2D2",0,1,0.00342109294277071,1,0.764112027789839,"Both"
"CACNG4",0,1,0.0421325707348063,1,0.902627008250109,"Both"
"CALB2",0,1,0.00524001095024562,1,0.841185410334346,"Both"
"CALCR",0,1,0.00238434413433986,1,0.895570994355189,"Both"
"CAMK2D",0,1,0.00129119223192198,1,0.719279201042119,"Both"
"CAR4",0,1,0.102186633453097,0,0.973078593139383,"GeoSVG-3D only"
"CAR8",0,1,0.424986128871974,0,0.973295701259227,"GeoSVG-3D only"
"CBLN2",0,1,0.00644359099417335,1,0.869843682153713,"Both"
"CBLN4",0,1,0.0252458121814114,1,0.903603994789405,"Both"
"CBS",0,1,0.212741816471518,0,0.957121146330873,"GeoSVG-3D only"
"CCK",0,1,0.0468768669245178,1,0.958858011289622,"Both"
"CCKBR",0,1,0.720643802478203,0,0.992726877985237,"GeoSVG-3D only"
"CCND2",0,1,0.0561461276782499,0,0.950933564915328,"GeoSVG-3D only"
"CCSAP",0,1,0.203172297844081,0,0.964719930525402,"GeoSVG-3D only"
"CD93",0,1,0.850928903911797,0,0.996309161962657,"GeoSVG-3D only"
"CDC20",0,1,0.799305007815848,0,0.996960486322188,"GeoSVG-3D only"
"CDH7",0,1,0.0930983420502082,0,0.947242726877985,"GeoSVG-3D only"
"CDK1",0,1,0.919354148866406,0,0.997828918801563,"GeoSVG-3D only"
"CFAP58",0,1,0.873050388152094,0,0.996417716022579,"GeoSVG-3D only"
"CFH",0,1,0.948971986018655,0,0.997611810681719,"GeoSVG-3D only"
"CHRM1",0,1,0.074066468826894,0,0.963091619626574,"GeoSVG-3D only"
"CHRM4",0,1,0.151491403306791,0,0.971884498480243,"GeoSVG-3D only"
"CHRM5",0,1,0.26239096830293,0,0.964719930525402,"GeoSVG-3D only"
"CLDN19",0,1,0.79304405598858,0,0.993812418584455,"GeoSVG-3D only"
"CLU",0,1,1.31836369121618e-06,1,0.176183239253148,"Both"
"CNN1",0,1,0.915876130675713,0,0.997611810681719,"GeoSVG-3D only"
"CNR2",0,1,0.988658574449743,0,0.999023013460703,"GeoSVG-3D only"
"COCH",0,1,0.185067902003179,0,0.977637863656101,"GeoSVG-3D only"
"COL12A1",0,1,0.924973557750268,0,0.99706904038211,"GeoSVG-3D only"
"COL19A1",0,1,0.810206931483536,0,0.993812418584455,"GeoSVG-3D only"
"COL20A1",0,1,0.699521324800832,0,0.991641337386018,"GeoSVG-3D only"
"COL24A1",0,1,0.860627408891965,0,0.998914459400782,"GeoSVG-3D only"
"COL3A1",0,1,0.647104694945243,0,0.987733391228832,"GeoSVG-3D only"
"COL5A1",0,1,0.891583254838881,0,0.997503256621798,"GeoSVG-3D only"
"CORO6",0,1,0.754407077372807,0,0.995549283543204,"GeoSVG-3D only"
"CORT",0,1,0.929830996579553,0,0.996743378202345,"GeoSVG-3D only"
"CPA6",0,1,0.834761645951648,0,0.997177594442032,"GeoSVG-3D only"
"CPB1",0,1,0.87630084544518,0,0.996960486322188,"GeoSVG-3D only"
"CPLX3",0,1,0.431693198968351,0,0.990121580547112,"GeoSVG-3D only"
"CPNE5",0,1,0.183668074448718,0,0.94811115935736,"GeoSVG-3D only"
"CRCT1",0,1,0.899760868846166,0,0.996526270082501,"GeoSVG-3D only"
"CRH",0,1,0.516697533656113,0,0.987516283108988,"GeoSVG-3D only"
"CSRP2",0,1,0.150958383503171,0,0.962765957446808,"GeoSVG-3D only"
"CUX2",0,1,0.225264859199932,0,0.963308727746418,"GeoSVG-3D only"
"DAPL1",0,1,0.819928246880535,0,0.995657837603126,"GeoSVG-3D only"
"DCN",0,1,0.337200216406961,0,0.973295701259227,"GeoSVG-3D only"
"DDIT4L",0,1,0.586483924675844,0,0.991966999565784,"GeoSVG-3D only"
"DGKK",0,1,0.0149492650613682,1,0.895679548415111,"Both"
"DKK3",0,1,0.000661332590295327,1,0.764003473729918,"Both"
"DLX2",0,1,0.692247633610836,0,0.991966999565784,"GeoSVG-3D only"
"EBF3",0,1,0.00215226309268934,1,0.877442466348241,"Both"
"ELFN1",0,1,0.0932241255557358,0,0.944963091619627,"GeoSVG-3D only"
"EMID1",0,1,0.490158064336384,0,0.988710377768129,"GeoSVG-3D only"
"EMX2",0,1,0.254970202713964,0,0.989470256187581,"GeoSVG-3D only"
"EN1",0,1,0.928199330776524,0,0.996960486322188,"GeoSVG-3D only"
"EPHA7",0,1,0.0260806981720726,1,0.922275293095962,"Both"
"ETV1",0,1,0.177923051976121,0,0.955927051671733,"GeoSVG-3D only"
"FAM169B",0,1,0.694680804463678,0,0.992184107685627,"GeoSVG-3D only"
"FAM183B",0,1,0.25528784150532,0,0.967867998263135,"GeoSVG-3D only"
"FAM92B",0,1,0.708915552842211,0,0.994246634824142,"GeoSVG-3D only"
"FAT2",0,1,0.785251741969967,0,0.995766391663048,"GeoSVG-3D only"
"FERMT1",0,1,0.881631310963248,0,0.996092053842814,"GeoSVG-3D only"
"FEZF1",0,1,0.373853140680782,0,0.981328701693443,"GeoSVG-3D only"
"FEZF2",0,1,0.214645340774355,0,0.98643074250977,"GeoSVG-3D only"
"GABRA5",0,1,0.0568432127833173,0,0.95223621363439,"GeoSVG-3D only"
"GABRQ",0,1,0.181392555181591,0,0.956795484151107,"GeoSVG-3D only"
"GCHFR",0,1,0.616355593602808,0,0.992726877985237,"GeoSVG-3D only"
"GFRA1",0,1,0.0207743146362996,1,0.879830655666522,"Both"
"GHRHR",0,1,0.971329340720819,0,0.998588797221016,"GeoSVG-3D only"
"GLRA3",0,1,0.169942289051468,0,0.954407294832827,"GeoSVG-3D only"
"GPSM3",0,1,0.251970037738602,0,0.991098567086409,"GeoSVG-3D only"
"GPX3",0,1,0.0918848098666616,0,0.931068171949631,"GeoSVG-3D only"
"GRM3",0,1,0.0624918403861846,0,0.940946591402518,"GeoSVG-3D only"
"HAP1",0,1,1.7783967721674e-05,1,0.270842379504994,"Both"
"HAPLN1",0,1,0.423636776371554,0,0.97698653929657,"GeoSVG-3D only"
"HCRTR2",0,1,0.747084462928667,0,0.994572297003908,"GeoSVG-3D only"
"HDC",0,1,0.332289643343581,0,0.980460269214069,"GeoSVG-3D only"
"HOXA5",0,1,0.723503506809661,0,0.994246634824142,"GeoSVG-3D only"
"HOXA9",0,1,0.717214080856347,0,0.996851932262267,"GeoSVG-3D only"
"HOXB5",0,1,0.679992293906708,0,0.992618323925315,"GeoSVG-3D only"
"HOXB7",0,1,0.986092955022395,0,0.999348675640469,"GeoSVG-3D only"
"HPCAL1",0,1,0.00611619998073887,1,0.753582283977421,"Both"
"HS3ST2",0,1,0.211493505560428,0,0.969387755102041,"GeoSVG-3D only"
"HS3ST4",0,1,0.161434698668647,0,0.964937038645245,"GeoSVG-3D only"
"HTR2B",0,1,0.929426754149379,0,0.997394702561876,"GeoSVG-3D only"
"HTR2C",0,1,0.044300978333199,1,0.924880590534086,"Both"
"IGFBP2",0,1,0.0587988637305762,0,0.94518019973947,"GeoSVG-3D only"
