"gene","p0g","geosvg_pred","scbsp_pvalue","scbsp_pred","spark_pvalue","spark_pred","sparkx_pvalue","sparkx_pred","raw_zero_prop","category"
"ABCC9",0,1,0.797210585465799,0,2.50566377284348e-15,1,1,0,0.996309161962657,"GeoSVG-3D only"
"ADAMTS15",0,1,0.698689309355295,0,5.26511354574676e-08,1,1,0,0.992401215805471,"GeoSVG-3D only"
"ADCY1",0,1,0.509852708567111,0,0.254787953733677,0,1,0,0.983282674772036,"GeoSVG-3D only"
"ADCYAP1R1",0,1,0.000993940845895436,1,5.55465258928979e-15,1,8.62660530990174e-29,1,0.684107685627443,"Both"
"ADORA1",0,1,0.0410402552857829,0,0.000495652057930601,1,0.00103367375431546,1,0.917607468519323,"GeoSVG-3D only"
"ADORA2B",0,1,0.835490257927631,0,2.50566377284348e-15,1,1,0,0.995332175423361,"GeoSVG-3D only"
"ADORA3",0,1,0.877759556084306,0,3.08030734496979e-15,1,0.855450419804667,0,0.996526270082501,"GeoSVG-3D only"
"ADRA1B",0,1,0.733221527829778,0,2.50566377284348e-15,1,1,0,0.992509769865393,"GeoSVG-3D only"
"ADRB1",0,1,0.333997211880076,0,1.12183353984424e-06,1,7.78567323748195e-07,1,0.982957012592271,"GeoSVG-3D only"
"ADRB3",0,1,0.51282742638932,0,2.50566377284348e-15,1,0.90468550617979,0,0.997937472861485,"GeoSVG-3D only"
"AGRP",0,1,0.661438910949406,0,0.0718988118144397,0,0.935762091006229,0,0.992075553625706,"GeoSVG-3D only"
"ALCAM",0,1,0.00772066937095428,1,2.50566377284348e-15,1,1.9933146457647e-23,1,0.817520625271385,"Both"
"ANPEP",0,1,0.871570557510017,0,0.00542520121745599,1,1,0,0.996309161962657,"GeoSVG-3D only"
"ANXA11",0,1,0.212176549667132,0,2.19688982303706e-12,1,1.38110254631103e-08,1,0.972210160660009,"GeoSVG-3D only"
"ARG1",0,1,0.948545333864258,0,1,0,1,0,0.997394702561876,"GeoSVG-3D only"
"ARHGAP36",0,1,0.0583859723430435,0,2.50566377284348e-15,1,1.27845260996301e-14,1,0.942249240121581,"GeoSVG-3D only"
"ARSJ",0,1,0.674574890659896,0,1,0,0.931080794526037,0,0.994789405123752,"GeoSVG-3D only"
"ASS1",0,1,0.0056639021064101,1,2.50566377284348e-15,1,1.21773939730511e-39,1,0.807316543638732,"Both"
"AVP",0,1,0.616305368592702,0,8.26151319643286e-07,1,0.00278716804828052,1,0.995549283543204,"GeoSVG-3D only"
"B3GAT2",0,1,0.1715932790269,0,0.0178492515271235,1,0.000913025951896546,1,0.962765957446808,"GeoSVG-3D only"
"BAIAP2L1",0,1,0.880993781745501,0,0.320121896426599,0,0.110696866863534,0,0.996309161962657,"GeoSVG-3D only"
"BDKRB2",0,1,0.760784863377068,0,1,0,0.892106594513762,0,0.995006513243595,"GeoSVG-3D only"
"BMP3",0,1,0.620326901878847,0,6.07133708016704e-06,1,1,0,0.994572297003908,"GeoSVG-3D only"
"C1QL2",0,1,0.801570003173041,0,0.00216249566729373,1,0.00753831624232361,1,0.993703864524533,"GeoSVG-3D only"
"C1QTNF7",0,1,0.72846155793937,0,0.292699136449213,0,1,0,0.99706904038211,"GeoSVG-3D only"
"CACNA2D2",0,1,0.00342109294277071,1,2.50566377284348e-15,1,4.73251501173362e-27,1,0.764112027789839,"Both"
"CACNG4",0,1,0.0421325707348063,0,2.54062037092218e-06,1,1.45299909407722e-10,1,0.902627008250109,"GeoSVG-3D only"
"CALB2",0,1,0.00524001095024562,1,2.50566377284348e-15,1,2.26156288309876e-37,1,0.841185410334346,"Both"
"CALCR",0,1,0.00238434413433986,1,3.08030734496979e-15,1,1.60531582681847e-53,1,0.895570994355189,"Both"
"CAMK2D",0,1,0.00129119223192198,1,2.50566377284348e-15,1,2.90925467133368e-25,1,0.719279201042119,"Both"
"CAR4",0,1,0.102186633453097,0,2.2634995327459e-06,1,1.50641319254644e-12,1,0.973078593139383,"GeoSVG-3D only"
"CAR8",0,1,0.424986128871974,0,0.000829251164674547,1,0.00191149809804635,1,0.973295701259227,"GeoSVG-3D only"
"CBLN2",0,1,0.00644359099417335,1,2.50566377284348e-15,1,1.00252318864492e-46,1,0.869843682153713,"Both"
"CBLN4",0,1,0.0252458121814114,0,2.50566377284348e-15,1,4.87301309815785e-13,1,0.903603994789405,"GeoSVG-3D only"
"CBS",0,1,0.212741816471518,0,0.211006824399164,0,0.0965970530569853,0,0.957121146330873,"GeoSVG-3D only"
"CCK",0,1,0.0468768669245178,0,2.50566377284348e-15,1,5.11505240535395e-49,1,0.958858011289622,"GeoSVG-3D only"
"CCKBR",0,1,0.720643802478203,0,0.00944125930038597,1,0.606115422311796,0,0.992726877985237,"GeoSVG-3D only"
"CCND2",0,1,0.0561461276782499,0,0.0373895775810143,1,0.251290456937472,0,0.950933564915328,"GeoSVG-3D only"
"CCSAP",0,1,0.203172297844081,0,3.08030734496979e-15,1,3.17432897064707e-30,1,0.964719930525402,"GeoSVG-3D only"
"CD93",0,1,0.850928903911797,0,0.0943423063020875,0,0.812158850258554,0,0.996309161962657,"GeoSVG-3D only"
"CDC20",0,1,0.799305007815848,0,0.00217783316032338,1,1,0,0.996960486322188,"GeoSVG-3D only"
"CDH7",0,1,0.0930983420502082,0,2.4838052713435e-06,1,3.08960960055803e-10,1,0.947242726877985,"GeoSVG-3D only"
"CDK1",0,1,0.919354148866406,0,1.23159363802595e-05,1,1,0,0.997828918801563,"GeoSVG-3D only"
"CFAP58",0,1,0.873050388152094,0,1,0,1,0,0.996417716022579,"GeoSVG-3D only"
"CFH",0,1,0.948971986018655,0,0.712950030749452,0,1,0,0.997611810681719,"GeoSVG-3D only"
"CHRM1",0,1,0.074066468826894,0,2.50566377284348e-15,1,6.65174558725151e-89,1,0.963091619626574,"GeoSVG-3D only"
"CHRM4",0,1,0.151491403306791,0,3.08030734496979e-15,1,4.98095248168631e-29,1,0.971884498480243,"GeoSVG-3D only"
"CHRM5",0,1,0.26239096830293,0,2.17201158940178e-14,1,2.41650482481712e-06,1,0.964719930525402,"GeoSVG-3D only"
"CLDN19",0,1,0.79304405598858,0,0.45438993035182,0,1,0,0.993812418584455,"GeoSVG-3D only"
"CLU",0,1,1.31836369121618e-06,1,2.50566377284348e-15,1,8.75521319012116e-57,1,0.176183239253148,"Both"
"CNN1",0,1,0.915876130675713,0,0.00144588712546862,1,1,0,0.997611810681719,"GeoSVG-3D only"
"CNR2",0,1,0.988658574449743,0,1,0,1,0,0.999023013460703,"GeoSVG-3D only"
"COCH",0,1,0.185067902003179,0,1.9444100962111e-10,1,3.96062879096831e-06,1,0.977637863656101,"GeoSVG-3D only"
"COL12A1",0,1,0.924973557750268,0,1,0,0.360160923249643,0,0.99706904038211,"GeoSVG-3D only"
"COL19A1",0,1,0.810206931483536,0,0.798638758993051,0,0.152049025375745,0,0.993812418584455,"GeoSVG-3D only"
"COL20A1",0,1,0.699521324800832,0,9.58981168164425e-10,1,0.629294770549739,0,0.991641337386018,"GeoSVG-3D only"
"COL24A1",0,1,0.860627408891965,0,3.08030734496979e-15,1,1,0,0.998914459400782,"GeoSVG-3D only"
"COL3A1",0,1,0.647104694945243,0,0.483767314453292,0,1,0,0.987733391228832,"GeoSVG-3D only"
"COL5A1",0,1,0.891583254838881,0,3.70571835514645e-05,1,1,0,0.997503256621798,"GeoSVG-3D only"
"CORO6",0,1,0.754407077372807,0,1,0,1,0,0.995549283543204,"GeoSVG-3D only"
"CORT",0,1,0.929830996579553,0,1,0,1,0,0.996743378202345,"GeoSVG-3D only"
"CPA6",0,1,0.834761645951648,0,7.1467829483789e-08,1,0.00441279360830027,1,0.997177594442032,"GeoSVG-3D only"
"CPB1",0,1,0.87630084544518,0,3.0398981584082e-10,1,1,0,0.996960486322188,"GeoSVG-3D only"
"CPLX3",0,1,0.431693198968351,0,1.97541285413347e-08,1,1.84867688458152e-24,1,0.990121580547112,"GeoSVG-3D only"
"CPNE5",0,1,0.183668074448718,0,4.47852010373536e-07,1,0.000201945265660315,1,0.94811115935736,"GeoSVG-3D only"
"CRCT1",0,1,0.899760868846166,0,0.592326303371932,0,1,0,0.996526270082501,"GeoSVG-3D only"
"CRH",0,1,0.516697533656113,0,2.85512741710851e-08,1,0.000283583133364516,1,0.987516283108988,"GeoSVG-3D only"
"CSRP2",0,1,0.150958383503171,0,0.00062418205703583,1,2.30964582942493e-05,1,0.962765957446808,"GeoSVG-3D only"
"CUX2",0,1,0.225264859199932,0,0.0021146585634717,1,0.0305193905804215,1,0.963308727746418,"GeoSVG-3D only"
"DAPL1",0,1,0.819928246880535,0,3.30705449750652e-11,1,0.548157469884366,0,0.995657837603126,"GeoSVG-3D only"
"DCN",0,1,0.337200216406961,0,0.00572102668175711,1,0.00144935595554205,1,0.973295701259227,"GeoSVG-3D only"
"DDIT4L",0,1,0.586483924675844,0,1.84111968350162e-06,1,0.0241934745880132,1,0.991966999565784,"GeoSVG-3D only"
"DGKK",0,1,0.0149492650613682,0,2.50566377284348e-15,1,1.96283896221456e-33,1,0.895679548415111,"GeoSVG-3D only"
"DKK3",0,1,0.000661332590295327,1,3.08030734496979e-15,1,2.96248138095455e-13,1,0.764003473729918,"Both"
"DLX2",0,1,0.692247633610836,0,0.0912771984939215,0,1,0,0.991966999565784,"GeoSVG-3D only"
"EBF3",0,1,0.00215226309268934,1,2.50566377284348e-15,1,3.85036129951265e-61,1,0.877442466348241,"Both"
"ELFN1",0,1,0.0932241255557358,0,3.08030734496979e-15,1,6.20204459212737e-08,1,0.944963091619627,"GeoSVG-3D only"
"EMID1",0,1,0.490158064336384,0,7.22457768209661e-05,1,0.245091565341332,0,0.988710377768129,"GeoSVG-3D only"
"EMX2",0,1,0.254970202713964,0,0.000280552955549767,1,3.58017708349356e-08,1,0.989470256187581,"GeoSVG-3D only"
"EN1",0,1,0.928199330776524,0,0.0261804724925525,1,1,0,0.996960486322188,"GeoSVG-3D only"
