"method_1","method_2","category","gene"
"GeoSVG-3D","scBSP","Overlap","ADCYAP1R1"
"GeoSVG-3D","scBSP","Overlap","ALCAM"
"GeoSVG-3D","scBSP","Overlap","ASS1"
"GeoSVG-3D","scBSP","Overlap","CACNA2D2"
"GeoSVG-3D","scBSP","Overlap","CALB2"
"GeoSVG-3D","scBSP","Overlap","CALCR"
"GeoSVG-3D","scBSP","Overlap","CAMK2D"
"GeoSVG-3D","scBSP","Overlap","CBLN2"
"GeoSVG-3D","scBSP","Overlap","CLU"
"GeoSVG-3D","scBSP","Overlap","DKK3"
"GeoSVG-3D","scBSP","Overlap","DLK1"
"GeoSVG-3D","scBSP","Overlap","EBF3"
"GeoSVG-3D","scBSP","Overlap","HAP1"
"GeoSVG-3D","scBSP","Overlap","HPCAL1"
"GeoSVG-3D","scBSP","Overlap","IGSF8"
"GeoSVG-3D","scBSP","Overlap","ITIH3"
"GeoSVG-3D","scBSP","Overlap","KLHL1"
"GeoSVG-3D","scBSP","Overlap","LSAMP"
"GeoSVG-3D","scBSP","Overlap","MDGA1"
"GeoSVG-3D","scBSP","Overlap","NPTX1"
"GeoSVG-3D","scBSP","Overlap","NRGN"
"GeoSVG-3D","scBSP","Overlap","NTSR2"
"GeoSVG-3D","scBSP","Overlap","PMCH"
"GeoSVG-3D","scBSP","Overlap","RGS4"
"GeoSVG-3D","scBSP","Overlap","RPS24"
"GeoSVG-3D","scBSP","Overlap","SATB1"
"GeoSVG-3D","scBSP","Overlap","SEZ6"
"GeoSVG-3D","scBSP","Overlap","SLC6A11"
"GeoSVG-3D","scBSP","Overlap","SNCG"
"GeoSVG-3D","scBSP","Overlap","SPARC"
"GeoSVG-3D","scBSP","Overlap","SUMO2"
"GeoSVG-3D","scBSP","Overlap","TMEM163"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ABCC9"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ADAMTS15"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ADCY1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ADORA1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ADORA2B"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ADORA3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ADRA1B"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ADRB1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ADRB3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","AFP"
"GeoSVG-3D","scBSP","GeoSVG-3D only","AGRP"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ANPEP"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ANXA11"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ARG1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ARHGAP36"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ARSJ"
"GeoSVG-3D","scBSP","GeoSVG-3D only","AVP"
"GeoSVG-3D","scBSP","GeoSVG-3D only","B3GAT2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","BAIAP2L1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","BDKRB2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","BMP3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","C1QL2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","C1QTNF7"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CACNG4"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CAR4"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CAR8"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CBLN4"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CBS"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CCK"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CCKBR"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CCN4"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CCND2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CCSAP"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CD74"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CD93"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CDC20"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CDH13"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CDH7"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CDK1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CFAP58"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CFH"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CHRM1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CHRM4"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CHRM5"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CLDN10"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CLDN19"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CLIC6"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CNN1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CNR2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","COCH"
"GeoSVG-3D","scBSP","GeoSVG-3D only","COL12A1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","COL19A1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","COL20A1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","COL24A1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","COL3A1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","COL5A1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CORO6"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CORT"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CPA6"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CPB1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CPLX3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CPNE5"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CRCT1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CRH"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CRIM1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CSRP2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","CUX2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","DAPL1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","DCN"
"GeoSVG-3D","scBSP","GeoSVG-3D only","DDIT4L"
"GeoSVG-3D","scBSP","GeoSVG-3D only","DGKK"
"GeoSVG-3D","scBSP","GeoSVG-3D only","DKK1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","DLX1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","DLX2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ECEL1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ELFN1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","EMID1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","EMX2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","EN1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","EPHA7"
"GeoSVG-3D","scBSP","GeoSVG-3D only","ETV1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","FAM169B"
"GeoSVG-3D","scBSP","GeoSVG-3D only","FAM183B"
"GeoSVG-3D","scBSP","GeoSVG-3D only","FAM92B"
"GeoSVG-3D","scBSP","GeoSVG-3D only","FAT2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","FBP2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","FERMT1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","FEZF1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","FEZF2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","FOXP2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","GABRA5"
"GeoSVG-3D","scBSP","GeoSVG-3D only","GABRQ"
"GeoSVG-3D","scBSP","GeoSVG-3D only","GCHFR"
"GeoSVG-3D","scBSP","GeoSVG-3D only","GFRA1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","GHRHR"
"GeoSVG-3D","scBSP","GeoSVG-3D only","GLRA1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","GLRA3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","GPSM3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","GPX2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","GPX3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","GRIK1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","GRM3"
"GeoSVG-3D","scBSP","GeoSVG-3D only","HAPLN1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","HCRTR2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","HDC"
"GeoSVG-3D","scBSP","GeoSVG-3D only","HOXA5"
"GeoSVG-3D","scBSP","GeoSVG-3D only","HOXA9"
"GeoSVG-3D","scBSP","GeoSVG-3D only","HOXB5"
"GeoSVG-3D","scBSP","GeoSVG-3D only","HOXB7"
"GeoSVG-3D","scBSP","GeoSVG-3D only","HS3ST2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","HS3ST4"
"GeoSVG-3D","scBSP","GeoSVG-3D only","HTR2B"
"GeoSVG-3D","scBSP","GeoSVG-3D only","HTR2C"
"GeoSVG-3D","scBSP","GeoSVG-3D only","IGFBP2"
"GeoSVG-3D","scBSP","GeoSVG-3D only","IGFBP4"
"GeoSVG-3D","scBSP","GeoSVG-3D only","IGFBP6"
"GeoSVG-3D","scBSP","GeoSVG-3D only","IL1R1"
"GeoSVG-3D","scBSP","GeoSVG-3D only","INHBA"
"GeoSVG-3D","scBSP","GeoSVG-3D only","INMT"
"GeoSVG-3D","scBSP","GeoSVG-3D only","INSRR"
"GeoSVG-3D","scBSP","GeoSVG-3D only","IRX4"
"GeoSVG-3D","scBSP","GeoSVG-3D only","IYD"
"GeoSVG-3D","scBSP","GeoSVG-3D only","JUNB"
