"gene","scbsp_pvalue","scbsp_pred"
"A2M",0.903695979526523,0
"ABCC9",0.797210585465799,0
"ABI3BP",0.787183764436614,0
"ACBD7",0.697463054434317,0
"ACTA2",0.539620531878282,0
"ADA",0.868568282883127,0
"ADAMTS15",0.698689309355295,0
"ADARB2",0.482957684154167,0
"ADCY1",0.509852708567111,0
"ADCYAP1",0.0067425918782078,1
"ADCYAP1R1",0.000993940845895436,1
"ADGRG2",0.522701973171476,0
"ADGRG6",0.789847952825649,0
"ADM",0.614903026636328,0
"ADORA1",0.0410402552857829,1
"ADORA2A",0.579539484536474,0
"ADORA2B",0.835490257927631,0
"ADORA3",0.877759556084306,0
"ADRA1B",0.733221527829778,0
"ADRB1",0.333997211880076,0
"ADRB2",0.574128800428533,0
"ADRB3",0.51282742638932,0
"AFP",0.97611286787894,0
"AGRP",0.661438910949406,0
"AGT",0.574947056412859,0
"AGTR2",0.444510069780066,0
"AJAP1",0.0116132696617423,1
"ALCAM",0.00772066937095428,1
"ALDH3B2",0.754346517047646,0
"ANGPT2",0.839441321845882,0
"ANGPT4",0.759251110250334,0
"ANKRD34B",0.49734193888963,0
"ANLN",0.236052191497889,0
"ANPEP",0.871570557510017,0
"ANXA1",0.553840334953354,0
"ANXA11",0.212176549667132,0
"APLN",0.12586623838675,0
"APLNR",0.995522698312726,0
"APOC1",0.516228592914495,0
"APOD",0.000349146425611235,1
"APOLD1",0.809711369219239,0
"AQP1",0.954912778476326,0
"AQP4",0.357735244626219,0
"ARAP2",0.109668790105912,0
"AREG",0.831315971238171,0
"ARG1",0.948545333864258,0
"ARHGAP25",0.853469233530054,0
"ARHGAP36",0.0583859723430435,0
"ARHGAP6",0.110689658544063,0
"ARSJ",0.674574890659896,0
"ASB4",0.180495182702592,0
"ASIC3",0.551659269968666,0
"ASIC4",0.612959874595521,0
"ASS1",0.0056639021064101,1
"ATF3",0.546909045281532,0
"ATP2A3",0.621044549766427,0
"ATP2B4",0.0644731744546665,0
"AVP",0.616305368592702,0
"B3GAT2",0.1715932790269,0
"BAIAP2L1",0.880993781745501,0
"BAIAP3",0.00920464821025169,1
"BARHL1",0.449662062003243,0
"BCL11B",0.233867083079769,0
"BCL6",0.726392979887308,0
"BDKRB1",0.726118846680661,0
"BDKRB2",0.760784863377068,0
