"Sensitivity","K","knn","h","h_factor","kappa_g","alpha_g","AUC","TP","FP","TN","FN","Precision","Power","Empirical_FDR","Specificity","FPR","Accuracy","Detected_SVG"
"knn",5,50,NA,NA,0,10,0.9999,113,0,880,7,1,0.9417,0,1,0,0.993,113
"knn",5,75,NA,NA,0,10,1,117,0,880,3,1,0.975,0,1,0,0.997,117
"knn",5,100,NA,NA,0,10,1,120,0,880,0,1,1,0,1,0,1,120
"knn",5,125,NA,NA,0,10,1,120,1,879,0,0.9917,1,0.0083,0.9989,0.0011,0.999,121
"knn",5,150,NA,NA,0,10,0.9996,119,5,875,1,0.9597,0.9917,0.0403,0.9943,0.0057,0.994,124
"K",3,100,0.075837,1,0,10,0.9998,110,0,880,10,1,0.9167,0,1,0,0.99,110
"K",4,100,0.075837,1,0,10,1,115,0,880,5,1,0.9583,0,1,0,0.995,115
"K",5,100,0.075837,1,0,10,1,120,0,880,0,1,1,0,1,0,1,120
"K",6,100,0.075837,1,0,10,1,120,3,877,0,0.9756,1,0.0244,0.9966,0.0034,0.997,123
"K",7,100,0.075837,1,0,10,0.9999,120,10,870,0,0.9231,1,0.0769,0.9886,0.0114,0.99,130
"bandwidth",5,100,0.06067,0.8,0,10,1,117,0,880,3,1,0.975,0,1,0,0.997,117
"bandwidth",5,100,0.068254,0.9,0,10,1,119,0,880,1,1,0.9917,0,1,0,0.999,119
"bandwidth",5,100,0.075837,1,0,10,1,120,0,880,0,1,1,0,1,0,1,120
"bandwidth",5,100,0.083421,1.1,0,10,1,120,0,880,0,1,1,0,1,0,1,120
"bandwidth",5,100,0.091005,1.2,0,10,1,120,1,879,0,0.9917,1,0.0083,0.9989,0.0011,0.999,121
"spectral",5,100,0.075837,1,0,6,1,120,1,879,0,0.9917,1,0.0083,0.9989,0.0011,0.999,121
"spectral",5,100,0.075837,1,0.05,6,1,120,1,879,0,0.9917,1,0.0083,0.9989,0.0011,0.999,121
"spectral",5,100,0.075837,1,0.1,6,1,120,1,879,0,0.9917,1,0.0083,0.9989,0.0011,0.999,121
"spectral",5,100,0.075837,1,0.2,6,1,120,2,878,0,0.9836,1,0.0164,0.9977,0.0023,0.998,122
"spectral",5,100,0.075837,1,0.5,6,1,120,5,875,0,0.96,1,0.04,0.9943,0.0057,0.995,125
"spectral",5,100,0.075837,1,0,8,1,120,1,879,0,0.9917,1,0.0083,0.9989,0.0011,0.999,121
"spectral",5,100,0.075837,1,0.05,8,1,120,1,879,0,0.9917,1,0.0083,0.9989,0.0011,0.999,121
"spectral",5,100,0.075837,1,0.1,8,1,120,1,879,0,0.9917,1,0.0083,0.9989,0.0011,0.999,121
"spectral",5,100,0.075837,1,0.2,8,1,120,1,879,0,0.9917,1,0.0083,0.9989,0.0011,0.999,121
"spectral",5,100,0.075837,1,0.5,8,1,120,5,875,0,0.96,1,0.04,0.9943,0.0057,0.995,125
"spectral",5,100,0.075837,1,0,10,1,120,0,880,0,1,1,0,1,0,1,120
"spectral",5,100,0.075837,1,0.05,10,1,120,0,880,0,1,1,0,1,0,1,120
"spectral",5,100,0.075837,1,0.1,10,1,120,0,880,0,1,1,0,1,0,1,120
"spectral",5,100,0.075837,1,0.2,10,1,120,0,880,0,1,1,0,1,0,1,120
"spectral",5,100,0.075837,1,0.5,10,1,120,3,877,0,0.9756,1,0.0244,0.9966,0.0034,0.997,123
"spectral",5,100,0.075837,1,0,12,1,119,0,880,1,1,0.9917,0,1,0,0.999,119
"spectral",5,100,0.075837,1,0.05,12,1,119,0,880,1,1,0.9917,0,1,0,0.999,119
"spectral",5,100,0.075837,1,0.1,12,1,119,0,880,1,1,0.9917,0,1,0,0.999,119
"spectral",5,100,0.075837,1,0.2,12,1,119,0,880,1,1,0.9917,0,1,0,0.999,119
"spectral",5,100,0.075837,1,0.5,12,1,120,2,878,0,0.9836,1,0.0164,0.9977,0.0023,0.998,122
"spectral",5,100,0.075837,1,0,14,1,118,0,880,2,1,0.9833,0,1,0,0.998,118
"spectral",5,100,0.075837,1,0.05,14,1,118,0,880,2,1,0.9833,0,1,0,0.998,118
"spectral",5,100,0.075837,1,0.1,14,1,118,0,880,2,1,0.9833,0,1,0,0.998,118
"spectral",5,100,0.075837,1,0.2,14,1,118,0,880,2,1,0.9833,0,1,0,0.998,118
"spectral",5,100,0.075837,1,0.5,14,1,120,1,879,0,0.9917,1,0.0083,0.9989,0.0011,0.999,121
